src,dst,Packet_Size,Protocol,Encryption_Type,Packet_Delay(ms),Attack_label
Node_4,Node_1,627,TCP,AES-128,12.48,Replay_Attack
Node_18,Node_3,1273,UDP,AES-128,9.31,Replay_Attack
Node_20,Node_1,1213,TCP,AES-256,13.24,Normal
Node_18,Node_14,515,UDP,AES-256,17.62,Normal
Node_1,Node_7,1493,UDP,AES-192,8.83,Normal
Node_7,Node_12,273,TCP,AES-192,8.83,Drop_Attack
Node_2,Node_16,1162,TCP,AES-192,17.9,Drop_Attack
Node_20,Node_12,1246,TCP,AES-256,13.84,Blackhole_Attack
Node_10,Node_3,540,TCP,AES-192,7.65,Normal
Node_12,Node_6,822,UDP,AES-128,12.71,Normal
Node_3,Node_7,1157,TCP,AES-128,7.68,Normal
Node_9,Node_19,513,UDP,AES-128,7.67,Normal
Node_2,Node_12,885,UDP,AES-128,11.21,Normal
Node_19,Node_11,499,UDP,AES-192,0.43,Normal
Node_15,Node_5,606,TCP,AES-128,1.38,Normal
Node_18,Node_9,1261,UDP,AES-256,7.19,Normal
Node_8,Node_5,1107,UDP,AES-128,4.94,Normal
Node_4,Node_6,1349,TCP,AES-256,11.57,Normal
Node_3,Node_14,845,UDP,AES-256,5.46,Normal
Node_18,Node_1,1457,TCP,AES-256,2.94,Normal
Node_9,Node_12,292,UDP,AES-192,17.33,Normal
Node_1,Node_10,1089,TCP,AES-256,8.87,Normal
Node_10,Node_18,1311,TCP,AES-128,10.34,Normal
Node_6,Node_19,1150,TCP,AES-256,2.88,Normal
Node_1,Node_5,807,UDP,AES-128,7.28,Blackhole_Attack
Node_3,Node_17,205,TCP,AES-128,10.55,Normal
Node_18,Node_6,606,UDP,AES-128,4.25,Normal
Node_7,Node_11,881,UDP,AES-192,11.88,Normal
Node_15,Node_4,571,TCP,AES-128,7,Normal
Node_19,Node_18,535,TCP,AES-128,8.54,Blackhole_Attack
Node_3,Node_2,740,TCP,AES-256,6.99,Normal
