====================
user   item   recommend 
1      17     O         
2      20     O         
2      1363   X         
2      167    O         
2      39     O         
2      223    O         
2      245    O         
4      492    O         
6      7      O         
7      6      O         
7      882    O         
7      1318   X         
10     25     O         
10     2      O         
10     3      X         
13     29     O         
21     2      O         
21     1      O         
21     10     X         
28     35     O         
35     1515   O         
35     2509   X         
35     2528   X         
36     2043   O         
41     265    O         
184    2028   O         
215    378    O         
241    1363   O         
257    295    O         
265    41     O         
266    1562   O         
309    149    O         
322    379    X         
363    202    O         
366    144    O         
378    215    O         
412    766    X         
416    634    O         
427    449    O         
446    1670   O         
459    756    O         
492    2198   O         
492    4      O         
546    1951   O         
647    757    O         
647    144    O         
734    755    O         
823    1      O         
823    2078   X         
882    923    O         
899    1566   O         
923    882    O         
923    1285   X         
1179   775    O         
1179   545    O         
1217   1622   X         
1281   1940   O         
1281   1617   X         
1317   1      O         
1348   1555   O         
1366   1316   O         
1396   2601   O         
1453   1810   O         
1487   1628   O         
1487   1518   X         
1515   35     X         
1515   1566   X         
1517   1290   O         
1521   1921   O         
1543   1896   O         
1555   1348   O         
1562   266    O         
1565   4172   O         
1566   1618   O         
1566   899    X         
1585   1637   O         
1610   905    X         
1610   1585   X         
1616   1499   O         
1617   1281   X         
1620   437    O         
1628   1487   O         
1637   1585   O         
1670   446    O         
1701   1731   O         
1731   1701   O         
1731   2397   O         
1752   2475   O         
1765   2296   O         
1779   2399   O         
1810   1453   O         
1810   2058   X         
1810   2572   O         
1810   2570   O         
1810   2567   O         
1832   2067   O         
1878   2591   X         
1899   2512   O         
1921   1521   O         
1948   2068   X         
2014   1855   O         
2028   1528   O         
2028   2539   O         
2028   2540   X         
2028   2534   X         
2058   1921   O         
2067   2090   O         
2070   35     O         
2125   2987   O         
2187   2281   O         
2194   318    O         
2258   2113   O         
2258   1383   O         
2296   1765   O         
2320   2118   X         
2322   4694   O         
2399   2016   O         
2427   2475   O         
2440   1810   X         
2475   1752   O         
2475   2427   O         
2484   1815   O         
2501   2540   O         
2505   2449   O         
2534   2028   X         
2565   2589   O         
2585   2621   X         
2585   2622   O         
2585   2623   O         
2589   2063   O         
2589   2565   O         
2592   2125   O         
2601   2585   X         
2601   2602   X         
2601   2603   X         
2603   2585   O         
2623   2622   O         
2642   5472   O         
2835   2725   O         
2839   3649   O         
2977   3904   O         
3185   13     O         
3630   3656   O         
3649   2839   O         
3649   4760   X         
3681   3904   O         
3719   4283   O         
3767   4172   O         
3789   4733   O         
3789   4707   O         
3789   4743   O         
3789   4744   O         
3789   4747   X         
3790   4654   O         
3791   4682   X         
3791   4684   O         
3791   4676   X         
3791   4686   O         
3791   4688   O         
3791   4701   O         
3792   4680   O         
3792   4681   O         
3792   4683   O         
3792   4682   X         
3792   4684   O         
3792   4676   X         
3793   4747   O         
3794   4654   O         
3794   4661   O         
3794   4667   O         
3795   4747   O         
3795   4458   O         
3904   3681   X         
3904   2977   O         
3916   2472   O         
3988   5471   O         
4172   3767   O         
4176   2625   O         
4197   4271   X         
4236   4252   O         
4252   4236   O         
4252   4277   O         
4265   4172   O         
4271   4197   X         
4281   4135   O         
4283   35     O         
4283   3719   O         
4292   361    X         
4452   4761   O         
4532   5977   X         
4661   4739   O         
4669   4635   O         
4675   4739   O         
4676   4739   O         
4688   4739   O         
4694   2322   O         
4760   3649   O         
4761   4452   O         
4957   5978   X         
5363   2987   O         
====================
Total recommends = 157/200
Not recommend   = 43/200
