user,item,rating
A395BORC6FGVXV,B000UA0QIQ,2
A1UQRSCLF8GW1T,B006K2ZZ7K,5
ADT0SRK1MGOEU,B006K2ZZ7K,4
A1SP2KVKFXXRU1,B006K2ZZ7K,5
A3JRGQVEQN31IQ,B006K2ZZ7K,5
A1MZYO9TZK0BBI,B000E7L2R4,5
A21BT40VZCCYT4,B00171APVA,5
A3HDKO7OW0QNK4,B0001PB9FE,5
A2725IB4YY9JEB,B0009XLVG0,5
A327PCT23YH90,B0009XLVG0,1
A18ECVX2RJ7HUE,B001GVISJM,4
A2MUGFV2TDQ47K,B001GVISJM,5
A1CZX3CP8IKQIJ,B001GVISJM,5
A3KLWF6WQ5BNYO,B001GVISJM,2
AFKW14U97Z6QO,B001GVISJM,5
A2A9X58G2GTBLP,B001GVISJM,5
A3IV7CL2C13K2U,B001GVISJM,5
A1WO0KGLPR5PV6,B001GVISJM,5
AZOF9E17RGZH8,B001GVISJM,5
ARYVQL4N737A1,B001GVISJM,5
AJ613OLZZUG7V,B001GVISJM,5
A22P2J09NJ9HKE,B001GVISJM,5
A3FONPR03H3PJS,B001GVISJM,5
A3RXAU2N8KV45G,B001GVISJM,1
AAAS38B98HMIK,B001GVISJM,4
A2F4LZVGFLD1OB,B00144C10S,5
A3HDKO7OW0QNK4,B0001PB9FY,5
AFM0O9480F04W,B003F6UO7K,5
A31OQO709M20Y7,B003F6UO7K,5
AOVROBZ8BNTP7,B001EO5QW8,4
A3PMM0NFVEJGK9,B001EO5QW8,4
A2EB6OGOWCRU5H,B001EO5QW8,5
A2CI0RLADCRKPF,B001EO5QW8,4
A1MYS9LFFBIYKM,B001EO5QW8,5
A3MGP2E1ZZ6GRB,B001EO5QW8,5
A2GHZ2UTV2B0CD,B001EO5QW8,4
AO80AC8313NIZ,B001EO5QW8,5
AQCY5KRO7489S,B001EO5QW8,5
A1WK4ALVZDYPUE,B001EO5QW8,5
A16XFOYQSJREL7,B001EO5QW8,5
A17DW6SUOC70DJ,B001EO5QW8,5
A2G7B7FKP2O2PU,B001EO5QW8,5
A39Z97950MCTQE,B001EO5QW8,3
AQLL2R1PPR46X,B001EO5QW8,5
A26AY1TFK8BQXQ,B001EO5QW8,3
ALOR97KTZTK1P,B001EO5QW8,4
A276999Y6VRSCQ,B001EO5QW8,3
A108P30XVUFKXY,B001EO5QW8,1
A3S5KJDA6ED2PS,B000G6RPMY,5
A9L6L5H9BPEBO,B000G6RPMY,4
AQ9DWWYP2KJCQ,B000G6RPMY,3
A1ND7WC5LXOU48,B002GWHC0G,4
A2EFAW1P3DRXWO,B002GWHC0G,5
A202WR509428VF,B004N5KULM,5
ASCNNAJU6SXF8,B004N5KULM,5
A2A7KXM9B4XW90,B004N5KULM,5
A2QOGOXPOVKAJG,B004N5KULM,5
A1ZR8O62VSU4OK,B004N5KULM,3
A7ZK2A3VIW7X9,B004N5KULM,5
A1E09XGZUR78C6,B001EO5TPM,1
A3HR0ZZOFKQ97N,B005DUM9UQ,5
A2XIHNXODNZGV4,B005DUM9UQ,5
A3TWF9DQ6MU87E,B005DUM9UQ,5
AEFIZIJ1FK1BK,B005DUM9UQ,5
A8OFFIAL6XTOH,B005DUM9UQ,2
A1KL2LAW08X6UQ,B000E7VI7S,3
AWCBF2ZWIN57F,B000E7VI7S,5
A27TKQHFW0FB5N,B001GVISJC,5
A3BDOAPSF96WGQ,B001GVISJC,5
ATYMT48R62ENE,B006SQBRMA,5
A25VFHVGI4CFTP,B0059WXJKM,1
A3Q0IDQ03S0158,B001EPPI84,2
A27TZ4WBU7N0YF,B001EPPI84,1
A2W3ABLWMJ84NS,B004X2KR36,5
A26M5O53PHZTKN,B004X2KR36,5
A2AB7M9UCNBVN7,B004X2KR36,3
A3H1EQD2PBC085,B005R8JE8O,5
AB30HQTI5VOLR,B0066DMI6Y,5
AZLONLC8OZPEC,B0066DMI6Y,4
A2VOZX7YBT0D6D,B003ZFRKGO,5
A1FD9E5C06UB6B,B0019CW0HE,3
AK2CXHH9VRZ2A,B0019CW0HE,3
A25BGFRHYHEZKK,B0019CW0HE,5
A37N9XZBB8JYOF,B0019CW0HE,5
A1T4L0Q47OZ9N,B0019CW0HE,5
A3IMXZE9FCUNOC,B0019CW0HE,5
A1EC57S6C2VLTL,B0019CW0HE,5
