====================
user                item                recommend 
A100UZGZNZ9ZYN      B002AYIJNY          O         
A107TOIRSQ1JWX      B0077DRNYE          X         
A11H0WJS80I6PO      B002C0Z4OS          O         
A12V99A19RKUAL      B006SXN8VQ          O         
A13DOLMII1JPXC      B0029NQNWU          O         
A13LAE0YTXA11B      B0002DGRZC          O         
A13MS1JQG2ADOJ      B0002DGRZC          O         
A1421EDED1JI4I      B006SXN8VQ          O         
A159UJ2KI3A32E      B00028LU40          X         
A15B9GRD3DF13X      B000CQBZQK          O         
A16QUDK9MXGT58      B0002DGRZC          O         
A17CEBYTEJMAB3      B003AOIN7A          X         
A17NHG3B5LMUIY      B0025VQJK2          X         
A186Y1BDGRGAOQ      B0002DGRZC          O         
A1AG7JAJUY175Y      B000KGW27S          X         
A1B4TXE58QSYVH      B005GTXSVS          X         
A1BFRTDMLD15UR      B0029NQNWU          X         
A1CH9ILS0DCSVR      B000CQBZQK          O         
A1CH9ILS0DCSVR      B000CQBZQK          O         
A1D87F6ZCVE5NK      B00813GRG4          X         
A1DQTSZ7PJAJ5S      B006WOFLL6          O         
A1EBDP064UZU3S      B000FFLXQ0          X         
A1G6Q2NQMJ2C3X      B000FFLXQ0          X         
A1L8DNQYY69L2Z      B0002DGRZC          O         
A1LZ3TV96VMVLF      B000K6X8KI          O         
A1P478YKNZYVXE      B006SXN8VQ          O         
A1PUF7YTIDBTPI      B005GTXSVS          X         
A1QIF2V1JKXP33      B004KPHYZ0          O         
A1RP1THAL7CUMV      B006SXN8VQ          O         
A1T09WG9F5LXX1      B004QFIFO8          X         
A1TU28E844T9FG      B003AOIN7A          X         
A1V5MY8V9AWUQB      B0002DGRZC          O         
A1VBG5L6U6YTGY      B000CHMJWI          X         
A1WKFVJCSW1OW6      B0002DGRZC          O         
A1WZO5N16472XP      B000UBH9YE          X         
A1WZWIME0UDS0M      B0002DGRZC          O         
A1X33GWPVBVUKY      B004DOTJH4          X         
A1XGU8Y7AHD1JQ      B001EQ4IC0          X         
A1XY9N0C70AXVC      B006WOFLL6          O         
A1YUL9PCJR3JTY      B00028LU40          X         
A1YUL9PCJR3JTY      B00028LU40          X         
A1YXTBBYN81QTB      B006WOFLL6          X         
A1Z4958PSNN2BI      B002C0Z4OS          X         
A1ZWZFD0YEM2WK      B006SXN8VQ          O         
A2003IIFNLYNCZ      B001HTMR8Q          X         
A200BW42U7XM9T      B000UBH9YE          X         
A20Q5S070GEQIW      B000UBH9YE          X         
A20VMMW9HI4SUL      B007IVEHNU          X         
A21N1PT1A908KW      B0002DGRZC          O         
A21YE7J85IPVE4      B0017T6S2C          X         
A21Z8B8XSZ4R17      B000GW0UGG          X         
A21ZRJE1AHHV35      B0029NQNWU          X         
A22FNF1EYLSWJD      B001MXBUZS          X         
A22H8K3Y6OJPVC      B002AYIJNY          O         
A238JIL0ZOGNSW      B002C55XQ2          X         
A23HNW1ZWMFAYD      B008O3G25W          O         
A24CFW43ZERCSU      B0002DGRZC          O         
A24HQWVDBJ5ZT5      B00028LU40          X         
A25EE3X3GQ6M7L      B000UBH9YE          O         
A25THJL7YWYDNF      B0002DGRZC          O         
A25WF34KSQND2M      B002C0Z4OS          O         
A26E6STZIFGT9Q      B0001VWG50          X         
A27TRXKVO0M82J      B001LQTJEU          O         
A280XS60DKT8U5      B000UBH9YE          X         
A281NGO8O03XWY      B000UBH9YE          X         
A283UD6WWOJ2A4      B004DOTJH4          O         
A28FIEZ0DVO7ZX      B000CQBZQK          O         
A296N1BPL2LBAA      B0002DGRZC          O         
A29JUMRL1US6YP      B0002DGRZC          O         
A2ALD2MD77NX5H      B001SAY5FC          O         
A2B29R6ATPJYOH      B002AYIJNY          O         
A2B8PJGA3D6GMP      B004DOTJH4          O         
A2GD3MQQZC4UT7      B0002DGRZC          O         
A2I6W1271EUF9F      B0017T6S2C          X         
A2IW75ZCB9QM0Y      B004DOTJH4          X         
A2KAVIGB0P4QIO      B001LQTJEU          O         
A2LMACEL9F0BBY      B002C0Z4OS          O         
A2M0MUXZXFMKDF      B0028PW2I8          X         
A2MNB77YGJ3CN0      B000GW0UGG          O         
A2MOJANFPX353G      B000GW0UGG          O         
A2NT1F84CD2T4Y      B002C0Z4OS          O         
A2PQB9N6AE7VK2      B000K6X8KI          X         
A2SWO60IW01VPX      B0002DGRZC          O         
A2VB6JBTLMB9YC      B002C0Z4OS          O         
A2VO25MGV2JZP4      B0002DGRZC          O         
A2XHKPWCJHMWUN      B006SXN8VQ          O         
A2Y8JZY1CD2TL4      B006SXN8VQ          O         
A2YAU2J7Q4Y709      B0017T6S2C          X         
A2YMCPP3KW9IXU      B000KGW27S          O         
A2YQLZKA294DYO      B00028Q96O          X         
A2YZJDCTZ6B3SK      B006SXN8VQ          O         
A2Z3HFWL7YYAQF      B000CQBZQK          O         
A2ZO1AYFVQYG44      B0002DGRZC          O         
A2ZTDHBBMM93VS      B0000GIOPW          X         
A30IP3E4MDQ36       B008O3G25W          O         
A31FHDEU5LI4NV      B0039KEQUI          X         
A31N6KB160O508      B0025VQJK2          O         
A32TR272T1PFE1      B0002DGRZC          O         
A32YUUD00S3HO8      B000UBH9YE          O         
A33XP2OL2P0T0       B0029K2X6I          X         
A343Y76WJTBYP6      B001LQTJEU          O         
A365DV8M74JXKB      B000EM8EHK          X         
A365GZ1IVMKQ0Y      B00472S31A          X         
A36PG3D7ILZEU2      B000UBH9YE          O         
A36PXYC07WSMIV      B000KGW27S          X         
A371B3Z09W4GT5      B0002DGRZC          O         
A37IG6KAHNLQAX      B0002DGRZC          O         
A37LKV9ZO38E00      B002C0Z4OS          X         
A37VX6MDLU9WBR      B000UBH9YE          X         
A38AN6ZRMHV6EU      B0002DGRZC          O         
A38H80FBUIF8I3      B0002DGRZC          O         
A38YA15XTW6CWG      B0017T6S2C          X         
A39ED7F7MXLOE7      B000UBH9YE          X         
A39FLSDYUUS6JG      B002C0Z4OS          X         
A39KQ9BWEUCLK       B000CQBZQK          O         
A39RT8SGW093HQ      B000UBH9YE          O         
A3AZI828WJN1CD      B008O3G25W          O         
A3BVM0J06QF2Z6      B0029NQNWU          X         
A3CEN1KNU51AD0      B0002DGRZC          O         
A3DMP65VOGN8LU      B000VZLH4C          X         
A3EFP1F4BKWVUQ      B002AYIJNY          O         
A3EPHBMU07LZ50      B0025VQJK2          O         
A3FVWLEWLRNB8T      B000EM8EHK          X         
A3G8C334EDZPP7      B0002DGRZC          O         
A3GN2H9FTY6UMK      B0029NQNWU          X         
A3H41NB0S6KV7M      B007AZ4YNM          X         
A3HW912LR80ICN      B0025VQJK2          X         
A3I4PRP45AKAWO      B000KGW27S          O         
A3IVDLIXVJCRDQ      B008O3G25W          O         
A3J4CYO5J72PVL      B000UBH9YE          X         
A3JDAZ5YVHY15U      B0002DGRZC          O         
A3JN69RW110073      B0029NQNWU          X         
A3K51VVIVEQX41      B0060Q6FCK          X         
A3KLNT1PFO7RSG      B002C0Z4OS          X         
A3LG1P8JTSTK6M      B000KGW27S          O         
A3LG62BH88N8GP      B006SXN8VQ          O         
A3MRDLY0FJNCOJ      B000CQBZQK          O         
A3NYO9SW3XYZRC      B006WOFLL6          X         
A3OB8XVV2KVWQP      B0039KEQUI          O         
A3OXHLG6DIBRW8      B000GW0UGG          O         
A3POAWC2JPQQQP      B005MJF6C6          X         
A3RMGIKUWGPZOK      B000GW0UGG          O         
A3SGXH7AUHU8GW      B001E4KFG0          X         
A3SL9FKRCR2D0K      B000UBH9YE          X         
A3TFTWTG2CC1GA      B0002DGRZC          O         
A3U1Z7TFLWQXR1      B003150KV0          X         
A3V1A3C9DTLPME      B000K6X8KI          O         
A3VF7QWKWT0PG6      B003AOIN7A          X         
A3VWIONYMJ98LZ      B000CQBZQK          O         
A4CD2LFRNXYIY       B000CQBZQK          O         
A5F2CS558RBDA       B0002DGRZC          O         
A5I175VYRZK4O       B006WOFLL6          X         
A5M25MQ8GOEHW       B0029NQNWU          X         
A73YL2BEZL1H1       B000K6X8KI          X         
A7MXWFCWVXJZE       B000GW0UGG          O         
A86WHNJU31330       B000KGW27S          X         
A8YF97E0G09K3       B002C0Z4OS          X         
A8ZU7QYGKF4X        B004KPHYZ0          X         
A9079SQDB6AOK       B002AYIJNY          O         
A9WRBX9150HCU       B0002DGRZC          O         
AAKG0EMIU1296       B000K6X8KI          O         
AAOXDK5LBQDYB       B002AYIJNY          O         
AASZK6Z6GOYS        B002AYIJNY          O         
ABBAG2ZQY7NY        B000GW0UGG          O         
ABXLMWJIXXAIN       B000LQOCH0          X         
ACJT8MUC0LRF0       B0039KEQUI          O         
ACQB8FMHUZSY3       B0017T6S2C          X         
ADAOC6UTL8ZZV       B001LQTJEU          O         
ADXXVGRCGQQUO       B0002DGRZC          O         
AF0C0V2241RC        B0047TGECS          X         
AF0SDFW46CN7B       B000KGW27S          X         
AF44MU313L704       B0002DGRZC          O         
AFDTV642ZGJ8S       B0002DGRZC          O         
AGYS0D2X1WDFX       B000K6X8KI          X         
AH1HCXA26ZN3S       B002C0Z4OS          O         
AHPW56XHNPYW1       B003150KV0          X         
AJD41FBJD9010       B0002DGRZC          X         
AJD41FBJD9010       B0002DGRZC          X         
AJD41FBJD9010       B0002DGRZC          X         
AJQDIT55SZ3ZX       B003AOIN7A          X         
AKTYOHNI06IUG       B0029NQNWU          X         
AMM5D4MA2CP7C       B000K6X8KI          X         
AMUSE72679O8D       B0060Q6FCK          X         
AN6G00SYXBOV3       B0002DGRZC          O         
ANKJE6ZVP0DQO       B002C0Z4OS          O         
AOQ2IB802NXAQ       B002C0Z4OS          O         
AP2D9UKD0V6XW       B008O8D6A6          X         
APAOH2F2DRQVI       B003AOIN7A          X         
AQHATKEPH80P0       B0002DGRZC          O         
AS8WFSJTEPKX0       B0002DGRZC          O         
ATUG19TAK6957       B000UBH9YE          O         
AUEA2NJHMK9DF       B00028LU40          X         
AVVGI1FW8KDZ7       B003AOIN7A          X         
AWNSQQJ44NPBT       B002C0Z4OS          O         
AWX6ODOEINYRU       B008FHUCNU          X         
AYJO0BRLZV97N       B0002DGRZC          O         
AYS3F0L3VFP6G       B0002DGRZC          O         
AYVA1OS3PL19K       B000UBH9YE          O         
AZ40270J4JBZN       B0002DGRZC          O         
AZ7GJ72KEZTB9       B0002DGRZC          O         
====================
Total recommends = 109/200
Total not recommends = 91/200
